
 num     #instances         #bytes  class name
----------------------------------------------
   1:        194932     2716661512  [B
   2:      11508076      368258432  org.apache.spark.CleanupTaskWeakReference
   3:      11148277      356744864  java.util.concurrent.ConcurrentHashMap$Node
   4:      11126614      356051648  java.lang.ref.WeakReference
   5:      11508426      276202224  java.util.concurrent.ConcurrentLinkedQueue$Node
   6:      11155753      267738072  java.lang.Long
   7:      11122032      266928768  org.apache.spark.CleanAccum
   8:           181       67316592  [Ljava.util.concurrent.ConcurrentHashMap$Node;
   9:        400360       57063440  [Ljava.lang.Object;
  10:        772089       37060272  org.apache.spark.storage.BlockInfo
  11:       1181016       28344384  scala.collection.mutable.DefaultEntry
  12:        786467       25166944  java.util.HashMap$Node
  13:        772088       24706816  org.apache.spark.storage.BlockStatus
  14:        445054       19200776  [C
  15:        772089       18530136  org.apache.spark.storage.BroadcastBlockId
  16:        387153       15486120  scala.collection.mutable.HashSet
  17:        444393       10665432  java.lang.String
  18:        386044        9265056  org.apache.spark.CleanBroadcast
  19:        195235        7809400  java.util.LinkedHashMap$Entry
  20:          5283        6840112  [Lscala.collection.mutable.HashEntry;
  21:        386389        6182224  scala.reflect.ClassTag$$anon$1
  22:          4404        5608096  [Ljava.util.HashMap$Node;
  23:         95569        4587312  java.nio.HeapByteBuffer
  24:         95391        3052512  org.apache.spark.storage.memory.DeserializedMemoryEntry
  25:         95390        3052480  org.apache.spark.util.io.ChunkedByteBuffer
  26:         95441        2355992  [Ljava.nio.ByteBuffer;
  27:         95395        2291072  [[B
  28:         95390        2289360  org.apache.spark.storage.memory.SerializedMemoryEntry
  29:         13907        1525184  java.lang.Class
  30:         10000        1120000  org.apache.spark.ui.jobs.UIData$TaskMetricsUIData
  31:         34025        1088800  scala.collection.mutable.LinkedEntry
  32:         23023         920920  org.apache.spark.util.LongAccumulator
  33:         51850         829600  scala.Some
  34:         24026         768832  org.apache.spark.util.AccumulatorMetadata
  35:         10000         720000  org.apache.spark.scheduler.TaskInfo
  36:          7954         674928  [I
  37:          4727         567240  scala.reflect.runtime.SynchronizedSymbols$SynchronizedSymbol$$anon$9
  38:         22770         546480  scala.collection.immutable.$colon$colon
  39:          4583         439968  scala.reflect.runtime.SynchronizedSymbols$SynchronizedSymbol$$anon$14
